item,VAT,hierarchy1,hierarchy2,description,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Internal EAN 1,Internal EAN 2,Internal EAN 3,Internal EAN 4,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID ,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type
904980,A,15,15005,DINA SMALL PLASTIC DESSERT SPOONS,1x40PC,48,1,,,,,,,,,0.55,48,24.29,,,,,,,,,,,,,0.99,33.33,PLAIN,VARIENT
904981,A,15,15005,DID PLASTIC CONTAINER WITH LIDS 5PC,1x650ML,22,0,,,,,,,,,0.75,24,17.09,,,,,,,,,,,,,1.29,30.23,PLAIN,VARIENT
904982,A,15,15005,DID FOIL CONTAINER LIDS 145MM,1x18PC,23,0,,,,,,,,,1.19,24,23.89,,,,,,,,,,,,,1.79,20.22,PLAIN,VARIENT
904983,A,15,15005,DID FOIL BAKE TRAYS 320MM,1x3PC,25,1,,,,,,,,,0.79,25,14.59,,,,,,,,,,,,,1.09,13.03,PLAIN,VARIENT
904984,A,15,15005,DID HEAVY DUTY 5 COMPARTMENT PLASTIC DINNER PLATES,1x25PC,12,1,,,,,,,,,3.69,12,42.49,,,,,,,,,,,,,5.99,26.08,PLAIN,VARIENT
904985,A,15,15005,DID HEAVY DUTY 6 COMPARTMENT PLASTIC DINNER PLATES,1x25PC,10,0,,,,,,,,,3.69,12,42.49,,,,,,,,,,,,,5.99,26.08,PLAIN,VARIENT
904986,A,15,15005,DID JUMBO GALVANIZED STEEL SCOURERS,1x4PC,10,0,,,,,,,,,0.59,12,6.89,,,,,,,,,,,,,0.99,28.48,PLAIN,VARIENT
904987,A,15,15001,DID VOLTAGE TESTER,1x2PC,2,0,,,,,,,,,0.65,12,8.19,,,,,,,,,,,,,0.99,21.21,PLAIN,VARIENT
904988,A,15,15001,DID SCREWDRIVER SET WITH HOLDER,1x4PC,6,0,,,,,,,,,0.79,12,8.69,,,,,,,,,,,,,1.29,26.51,PLAIN,VARIENT
904989,A,15,15006,DID BICYCLE LOCK,1x55CM,7,0,,,,,,,,,0.79,12,8.69,,,,,,,,,,,,,1.29,26.51,PLAIN,VARIENT
904991,A,15,15001,DID RUBBER PLUGER WITH PLASTIC HANDLE,1x50CM,22,0,,,,,,,,,0.65,24,13.49,,,,,,,,,,,,,1.09,28.44,PLAIN,VARIENT
904992,A,15,15006,DID COST IRON PADLOCK,1x40MM,7,0,,,,,,,,,0.65,12,6.99,,,,,,,,,,,,,0.99,21.21,PLAIN,VARIENT
904993,A,15,15004,DID ASSORTED BALLOONS,1x50PC,1,0,,,,,,,,,0.69,12,7.29,,,,,,,,,,,,,0.99,16.36,PLAIN,VARIENT
904994,A,15,15005,DID REUSABLE PLASTIC SPOONS,1x100PC,16,0,,,,,,,,,0.79,24,16.59,,,,,,,,,,,,,1.59,40.38,PLAIN,VARIENT
904995,A,15,15005,DID REUSABLE PLASTIC WHITE SPOONS,1x40PC,23,0,,,,,,,,,0.65,24,13.49,,,,,,,,,,,,,0.99,21.21,PLAIN,VARIENT
904996,A,15,15005,DID REUSABLE PLASTIC TEA SPOONS,1x100PC,24,1,,,,,,,,,0.65,24,13.59,,,,,,,,,,,,,1.19,34.45,PLAIN,VARIENT
904997,A,15,15004,DID STAINLESS STEEL CAN OPENER,1x1,9,0,,,,,,,,,0.75,12,7.79,,,,,,,,,,,,,1.29,30.23,PLAIN,VARIENT
904998,A,15,15004,DID SUPER GLUE 5PACK,1x3G,12,1,,,,,,,,,0.65,12,7.29,,,,,,,,,,,,,0.99,21.21,PLAIN,VARIENT
904999,A,15,15004,DID ASSORTED SAFETY PINS,1x80PC,9,0,,,,,,,,,0.69,12,6.69,,,,,,,,,,,,,1.19,30.42,PLAIN,VARIENT
905000,A,15,15004,DID ELASTIC BANDS,1x250PC,16,0,,,,,,,,,1.29,24,11.89,,,,,,,,,,,,,1.99,22.21,PLAIN,VARIENT
